Planetary distance (AU),Nuclear power generation in Brazil (Billion kWh)
13.336,0.051
12.2208,0.174
11.2163,2.733
10.3697,2.921
9.72886,0.117
9.34309,0.915
9.25106,0.31
9.46773,1.513
9.97784,1.936
10.744,1.37
11.721,1.663
12.8579,0.419682
14.1138,0.052212
15.4539,2.39465
16.8508,2.30755
18.2714,3.01055
19.6922,3.135
21.0895,3.778
22.4424,4.94
23.7228,14.268
24.9111,13.84
25.9888,13.4
26.942,11.6
27.7542,9.197
28.4186,12.984
28.9315,11.65
29.2926,13.209
29.503,12.224
29.5677,13.774
29.4929,14.795
29.2849,15.17
28.9515,14.645
28.4998,14.463
27.9362,13.9074
27.2649,14.974
26.4942,14.8562
25.6278,14.7945
24.6697,15.1611
23.6217,13.2094
22.4927,14.704
